date,pm25,pm10,temperature,humidity
2025-08-30,128.0,175.0,39,44
2025-08-31,121.0,168.0,38,43
2025-09-01,129.0,179.0,27,42
2025-09-02,122.0,172.0,26,41
2025-09-03,115.0,165.0,25,40
2025-09-04,138.0,188.0,34,79
2025-09-05,131.0,181.0,33,78
2025-09-06,124.0,174.0,32,77
2025-09-07,117.0,167.0,31,76
2025-09-08,140.0,190.0,30,75
2025-09-09,133.0,183.0,29,74
2025-09-10,126.0,176.0,28,73
2025-09-11,119.0,169.0,27,72
2025-09-12,142.0,192.0,26,71
2025-09-13,135.0,185.0,25,70
2025-09-14,128.0,178.0,34,69
2025-09-15,121.0,171.0,33,68
2025-09-16,144.0,194.0,32,67
2025-09-17,137.0,187.0,31,66
2025-09-18,130.0,180.0,30,65
2025-09-19,123.0,173.0,29,64
2025-09-20,116.0,166.0,28,63
2025-09-21,139.0,189.0,27,62
2025-09-22,132.0,182.0,26,61
2025-09-23,125.0,175.0,25,60
2025-09-24,118.0,168.0,34,59
2025-09-25,141.0,191.0,33,58
2025-09-26,134.0,184.0,32,57
2025-09-27,127.0,177.0,31,56
2025-09-28,120.0,170.0,30,55
2025-09-29,143.0,193.0,29,54
2025-09-30,136.0,186.0,28,53
2025-10-01,129.0,179.0,27,52
2025-10-02,122.0,172.0,26,51
2025-10-03,115.0,165.0,25,50
2025-10-04,138.0,188.0,34,49
2025-10-05,131.0,181.0,33,48
2025-10-06,124.0,174.0,32,47
2025-10-07,117.0,167.0,31,46
2025-10-08,140.0,190.0,30,45
2025-10-09,133.0,183.0,29,44
2025-10-10,126.0,176.0,28,43
2025-10-11,119.0,169.0,27,42
2025-10-12,142.0,192.0,26,41
2025-10-13,135.0,185.0,25,40
2025-10-14,128.0,178.0,34,79
2025-10-15,121.0,171.0,33,78
2025-10-16,144.0,194.0,32,77
2025-10-17,137.0,187.0,31,76
2025-10-18,130.0,180.0,30,75
2025-10-19,123.0,173.0,29,74
2025-10-20,116.0,166.0,28,73
2025-10-21,139.0,189.0,27,72
2025-10-22,132.0,182.0,26,71
2025-10-23,125.0,175.0,25,70
2025-10-24,118.0,168.0,34,69
2025-10-25,141.0,191.0,33,68
2025-10-26,134.0,184.0,32,67
2025-10-27,127.0,177.0,31,66
2025-10-28,120.0,170.0,30,65
2025-10-29,143.0,193.0,29,64
2025-10-30,136.0,186.0,28,63
2025-10-31,129.0,179.0,27,62
2025-11-01,147.0,202.0,20,61
2025-11-02,140.0,195.0,19,60
2025-11-03,163.0,218.0,18,59
2025-11-04,156.0,211.0,17,58
2025-11-05,149.0,204.0,16,57
2025-11-06,142.0,197.0,15,56
2025-11-07,165.0,220.0,22,55
2025-11-08,158.0,213.0,21,54
2025-11-09,151.0,206.0,20,53
2025-11-10,144.0,199.0,19,52
2025-11-11,167.0,222.0,18,51
2025-11-12,160.0,215.0,17,50
2025-11-13,153.0,208.0,16,49
2025-11-14,146.0,201.0,15,48
2025-11-15,169.0,224.0,22,47
2025-11-16,162.0,217.0,21,46
2025-11-17,155.0,210.0,20,45
2025-11-18,148.0,203.0,19,44
2025-11-19,141.0,196.0,18,43
2025-11-20,164.0,219.0,17,42
2025-11-21,157.0,212.0,16,41
2025-11-22,150.0,205.0,15,40
2025-11-23,143.0,198.0,22,79
2025-11-24,166.0,221.0,21,78
2025-11-25,159.0,214.0,20,77
2025-11-26,152.0,207.0,19,76
2025-11-27,145.0,200.0,18,75
2025-11-28,168.0,223.0,17,74
2025-11-29,161.0,216.0,16,73
2025-11-30,154.0,209.0,15,72
2025-12-01,147.0,202.0,22,71
2025-12-02,140.0,195.0,21,70
2025-12-03,163.0,218.0,20,69
2025-12-04,156.0,211.0,19,68
2025-12-05,149.0,204.0,18,67
2025-12-06,142.0,197.0,17,66
2025-12-07,165.0,220.0,16,65
2025-12-08,158.0,213.0,15,64
2025-12-09,151.0,206.0,22,63
2025-12-10,144.0,199.0,21,62
2025-12-11,167.0,222.0,20,61
2025-12-12,160.0,215.0,19,60
2025-12-13,153.0,208.0,18,59
2025-12-14,146.0,201.0,17,58
2025-12-15,169.0,224.0,16,57
2025-12-16,162.0,217.0,15,56
2025-12-17,155.0,210.0,22,55
2025-12-18,148.0,203.0,21,54
2025-12-19,141.0,196.0,20,53
2025-12-20,164.0,219.0,19,52
2025-12-21,157.0,212.0,18,51
2025-12-22,150.0,205.0,17,50
2025-12-23,143.0,198.0,16,49
2025-12-24,166.0,221.0,15,48
2025-12-25,159.0,214.0,22,47
2025-12-26,152.0,207.0,21,46
2025-12-27,145.0,200.0,20,45
2025-12-28,168.0,223.0,19,44
2025-12-29,161.0,216.0,18,43
2025-12-30,154.0,209.0,17,42
2025-12-31,147.0,202.0,16,41
2026-01-01,140.0,195.0,15,40
2026-01-02,163.0,218.0,22,79
2026-01-03,156.0,211.0,21,78
2026-01-04,149.0,204.0,20,77
2026-01-05,142.0,197.0,19,76
2026-01-06,165.0,220.0,18,75
2026-01-07,158.0,213.0,17,74
2026-01-08,151.0,206.0,16,73
2026-01-09,144.0,199.0,15,72
2026-01-10,167.0,222.0,22,71
2026-01-11,160.0,215.0,21,70
2026-01-12,153.0,208.0,20,69
2026-01-13,146.0,201.0,19,68
2026-01-14,169.0,224.0,18,67
2026-01-15,162.0,217.0,17,66
2026-01-16,155.0,210.0,16,65
2026-01-17,148.0,203.0,15,64
2026-01-18,141.0,196.0,22,63
2026-01-19,164.0,219.0,21,62
2026-01-20,157.0,212.0,20,61
2026-01-21,150.0,205.0,19,60
2026-01-22,143.0,198.0,18,59
2026-01-23,166.0,221.0,17,58
2026-01-24,159.0,214.0,16,57
2026-01-25,152.0,207.0,15,56
2026-01-26,145.0,200.0,22,55
2026-01-27,168.0,223.0,21,54
2026-01-28,161.0,216.0,20,53
2026-01-29,154.0,209.0,19,52
2026-01-30,147.0,202.0,18,51
2026-01-31,140.0,195.0,17,50
2026-02-01,163.0,218.0,34,49
2026-02-02,156.0,211.0,33,48
2026-02-03,149.0,204.0,32,47
2026-02-04,142.0,197.0,31,46
2026-02-05,165.0,220.0,30,45
2026-02-06,158.0,213.0,29,44
2026-02-07,151.0,206.0,28,43
2026-02-08,144.0,199.0,27,42
2026-02-09,167.0,222.0,26,41
2026-02-10,160.0,215.0,25,40
2026-02-11,153.0,208.0,34,79
2026-02-12,146.0,201.0,33,78
2026-02-13,169.0,224.0,32,77
2026-02-14,162.0,217.0,31,76
2026-02-15,155.0,210.0,30,75
2026-02-16,148.0,203.0,29,74
2026-02-17,141.0,196.0,28,73
2026-02-18,164.0,219.0,27,72
2026-02-19,157.0,212.0,26,71
2026-02-20,150.0,205.0,25,70
2026-02-21,143.0,198.0,34,69
2026-02-22,166.0,221.0,33,68
2026-02-23,159.0,214.0,32,67
2026-02-24,152.0,207.0,31,66
