longitude,latitude,population_density
74.1987,31.7079,455.8028
74.2071,31.7079,433.84067
74.2154,31.7079,594.06915
74.2237,31.7079,675.81256
74.2321,31.7079,652.79694
74.2404,31.7079,1010.0434
74.2487,31.7079,2664.2703
74.2571,31.7079,3758.8403
74.2654,31.7079,4276.2725
74.2737,31.7079,2579.4934
74.2821,31.7079,953.1143
74.2904,31.7079,1243.5685
74.2987,31.7079,1946.6616
74.3071,31.7079,1538.4905
74.3154,31.7079,566.7693
74.3237,31.7079,462.77002
74.3321,31.7079,438.15054
74.3404,31.7079,577.7024
74.3487,31.7079,529.3954
74.3571,31.7079,716.956
74.3654,31.7079,705.56665
74.3737,31.7079,786.62634
74.3821,31.7079,525.80084
74.3904,31.7079,582.3421
74.3987,31.7079,610.6093
74.4071,31.7079,419.80542
74.4154,31.7079,427.4137
74.4237,31.7079,450.44095
74.4321,31.7079,421.77084
74.4404,31.7079,460.16537
74.4487,31.7079,387.8273
74.4571,31.7079,507.11874
74.4654,31.7079,696.447
74.4737,31.7079,847.1168
74.4821,31.7079,921.6065
74.4904,31.7079,816.1071
74.4987,31.7079,1151.6484
74.1987,31.6996,517.2645
74.2071,31.6996,501.0612
74.2154,31.6996,544.08746
74.2237,31.6996,603.6837
74.2321,31.6996,960.9788
74.2404,31.6996,1722.8463
74.2487,31.6996,3166.235
74.2571,31.6996,4020.834
74.2654,31.6996,5308.575
74.2737,31.6996,4497.1465
74.2821,31.6996,2164.322
74.2904,31.6996,3010.7131
74.2987,31.6996,2033.8402
74.3071,31.6996,802.5594
74.3154,31.6996,479.54123
74.3237,31.6996,591.51404
74.3321,31.6996,538.0026
74.3404,31.6996,632.136
74.3487,31.6996,667.96655
74.3571,31.6996,914.0983
74.3654,31.6996,560.88727
74.3737,31.6996,486.19278
74.3821,31.6996,583.3648
74.3904,31.6996,546.98724
74.3987,31.6996,499.57104
74.4071,31.6996,448.31567
74.4154,31.6996,421.3619
74.4237,31.6996,479.43503
74.4321,31.6996,492.1826
74.4404,31.6996,496.17596
74.4487,31.6996,422.01483
74.4571,31.6996,671.7502
74.4654,31.6996,789.8795
74.4737,31.6996,1023.3058
74.4821,31.6996,958.7257
74.4904,31.6996,728.4038
74.4987,31.6996,931.26483
74.1987,31.6913,922.5042
74.2071,31.6913,984.7031
74.2154,31.6913,1418.7706
74.2237,31.6913,2038.1101
74.2321,31.6913,1865.5548
74.2404,31.6913,1684.7761
74.2487,31.6913,2381.341
74.2571,31.6913,3049.5261
74.2654,31.6913,5427.4453
74.2737,31.6913,8034.6533
74.2821,31.6913,3931.5273
74.2904,31.6913,2584.4065
74.2987,31.6913,1210.6396
74.3071,31.6913,560.2237
74.3154,31.6913,663.119
74.3237,31.6913,1235.1818
74.3321,31.6913,1253.655
74.3404,31.6913,1395.7759
74.3487,31.6913,971.3038
74.3571,31.6913,638.29004
74.3654,31.6913,572.198
74.3737,31.6913,556.06616
74.3821,31.6913,580.51575
74.3904,31.6913,528.7232
74.3987,31.6913,438.65216
74.4071,31.6913,445.68066
74.4154,31.6913,499.9649
74.4237,31.6913,469.69815
74.4321,31.6913,595.87964
74.4404,31.6913,763.6804
74.4487,31.6913,670.44354
74.4571,31.6913,970.0771
74.4654,31.6913,1128.9515
74.4737,31.6913,1350.3331
74.4821,31.6913,1145.4407
74.4904,31.6913,692.48456
74.4987,31.6913,786.1766
74.1987,31.6829,2003.6211
74.2071,31.6829,1463.0176
74.2154,31.6829,1344.1005
74.2237,31.6829,1785.0917
74.2321,31.6829,1351.8484
74.2404,31.6829,1109.5316
74.2487,31.6829,1317.6437
74.2571,31.6829,2248.7566
74.2654,31.6829,5635.0845
74.2737,31.6829,7233.105
74.2821,31.6829,3671.6838
74.2904,31.6829,2364.0286
74.2987,31.6829,1418.0201
74.3071,31.6829,900.2665
74.3154,31.6829,1495.0298
