id,highway,name,lat,lon
5115246,tertiary,سنبل روڈ,0,0
5115247,primary,ناظم الدین روڈ,0,0
5115248,secondary,10th Avenue,0,0
5191346,primary,خیابان اقبال,0,0
5191355,primary,Multan Road,0,0
6356226,secondary,Rohtas Road,0,0
6356230,secondary,ابن سینا روڈ,0,0
6356249,secondary,Mangla Road,0,0
6356255,tertiary,Ataturk Avenue,0,0
6356260,primary,7th Avenue,0,0
7920000,primary,تونسہ بیراج روڈ,0,0
7973896,tertiary,ہلال روڈ,0,0
7973907,secondary,Service Road East G-10,0,0
7973909,primary,Islamabad Expressway,0,0
7973910,secondary,Damn-i-koh Road,0,0
7973912,tertiary,Major Road,0,0
7973915,tertiary,Mir Chakar Khan Road,0,0
7973918,tertiary,Pitras Bukhari Road,0,0
7973920,secondary,فیض احمد فیض روڈ,0,0
7973921,tertiary,Qazi Mohammad Isa Road,0,0
8043562,primary,مری روڈ,0,0
8043567,primary,جناح ایونیو,0,0
8044631,secondary,Imran Khan Avenue,0,0
8058335,secondary,Service Road East H-9,0,0
8083815,tertiary,ماروی روڈ,0,0
8083832,tertiary,Kohsar Road,0,0
8083868,tertiary,کالج روڈ,0,0
8096396,tertiary,Bhitai Road,0,0
8096411,tertiary,Park Road,0,0
8103768,tertiary,Tipu Sultan Road,0,0
8103777,tertiary,Rehman Baba Road,0,0
8110716,primary,Yateem Khana Road,0,0
8110842,primary,Jaranwala Road,0,0
8110843,primary,Jaranwala Road,0,0
8111084,tertiary,Unnamed Road,0,0
8111085,tertiary,Kot Pindi Dass Road,0,0
8111086,tertiary,Unnamed Road,0,0
8118827,primary,کشمیر روڈ,0,0
8573337,secondary,Golra Road,0,0
8598420,secondary,Neelum Road,0,0
8598421,tertiary,Chaman Road,0,0
8601154,tertiary,Ataturk Avenue,0,0
8677255,secondary,Amar Shaheed Road,0,0
8677339,tertiary,Unnamed Road,0,0
8679101,secondary,Sir Khwaja Nazimuddin Road,0,0
8679836,secondary,Service Road South G9,0,0
8745064,tertiary,Professor Ashfaq Ahmed Khan Road,0,0
8745165,tertiary,Sahabzada Abdul Qayyum Road,0,0
8789809,tertiary,Mangla Road,0,0
8892192,primary,Old Airport Rd,0,0
9267635,tertiary,Unnamed Road,0,0
9267804,tertiary,Nurpur Road,0,0
9664635,tertiary,G8 Markaz Road,0,0
9664927,tertiary,اسٹریٹ 12,0,0
9666442,tertiary,حنا روڈ,0,0
9893924,secondary,Service Road South G10,0,0
9894057,tertiary,AK Brohi Road,0,0
9897110,secondary,حالہ روڈ,0,0
9897115,secondary,حالہ روڈ,0,0
9897116,secondary,حالہ روڈ,0,0
9897252,primary,Unnamed Road,0,0
9897254,primary,Unnamed Road,0,0
9897255,primary,Unnamed Road,0,0
9933714,tertiary,جناح روڈ,0,0
9933838,secondary,Eastern Bypass Road,0,0
9933886,secondary,Unnamed Road,0,0
9933899,primary,Unnamed Road,0,0
9933917,primary,Zarghun Road,0,0
9962355,primary,Adiala Road,0,0
9962557,primary,Adiala Road,0,0
9962709,primary,Adiala Road,0,0
9962919,primary,Adiala Road,0,0
9963050,primary,Adiala Road,0,0
9966182,tertiary,Ravi Road,0,0
10042237,tertiary,Service Road F-8/1,0,0
10115154,primary,UBD Canal Bank Road,0,0
10115169,primary,UBD Canal Bank Road,0,0
10115995,primary,Ferozpur Road,0,0
10115996,primary,فیروزپور روڈ,0,0
10116120,secondary,St 31 Sec W Ph 3,0,0
10116155,secondary,Liberty Roundabout,0,0
10116258,secondary,Main Boulevard Gulberg,0,0
10116339,primary,شیرپاؤ پل,0,0
10116340,secondary,جیل روڈ,0,0
10116342,primary,Sherpao Bridge,0,0
10117215,secondary,Ali Zaib Road,0,0
10147218,primary,علامہ اقبال روڈ,0,0
10148118,tertiary,Jhelum Road,0,0
10274935,secondary,Grand Trunk Road گرینڈ ٹرنک روڈ,0,0
10276047,primary,Raiwind Road,0,0
10276053,primary,Raiwind Road,0,0
10276071,primary,Raiwind Road,0,0
10276076,primary,Raiwind Road,0,0
