date,avg_temp_c,avg_humidity_percent,total_rain_mm,max_wind_kmh
2020-01-01,6.3,90,0.0,10.1
2020-01-02,9.5,85,0.0,10.4
2020-01-03,11.4,77,0.0,9.6
2020-01-04,10.6,80,0.2,10.2
2020-01-05,10.4,82,1.0,8.6
2020-01-06,9.9,89,13.1,10.9
2020-01-07,10.7,96,3.4,6.9
2020-01-08,9.6,86,0.1,10.7
2020-01-09,8.7,81,0.0,10.2
2020-01-10,9.1,74,0.0,12.7
2020-01-11,9.7,75,0.0,9.1
2020-01-12,12.5,69,0.1,11.9
2020-01-13,10.2,88,14.2,20.3
2020-01-14,9.5,85,0.0,9.8
2020-01-15,9.9,77,0.0,10.9
2020-01-16,10.0,84,0.0,9.5
2020-01-17,9.9,86,0.0,8.4
2020-01-18,10.7,81,0.0,11.9
2020-01-19,10.3,86,0.0,10.4
2020-01-20,12.7,73,0.3,10.3
2020-01-21,12.0,77,0.4,14.4
2020-01-22,11.5,70,0.0,15.0
2020-01-23,10.9,67,0.0,15.3
2020-01-24,11.1,64,0.0,12.9
2020-01-25,12.0,73,1.1,9.7
2020-01-26,12.6,74,0.0,8.7
2020-01-27,11.8,84,7.7,16.5
2020-01-28,11.8,92,16.4,16.8
2020-01-29,11.5,87,3.1,15.0
2020-01-30,10.3,85,0.0,10.2
2020-01-31,10.1,80,0.0,10.6
2020-02-01,11.3,76,0.3,9.1
2020-02-02,11.6,74,0.0,11.0
2020-02-03,11.6,72,0.0,9.4
2020-02-04,9.7,85,1.5,10.1
2020-02-05,10.3,78,0.0,11.8
2020-02-06,11.1,71,0.0,9.0
2020-02-07,11.9,72,0.0,10.8
2020-02-08,11.9,73,0.0,10.5
2020-02-09,13.5,70,0.0,8.4
2020-02-10,13.3,69,0.0,10.8
2020-02-11,13.6,72,0.0,9.7
2020-02-12,15.2,68,0.1,18.9
2020-02-13,16.8,65,0.0,16.7
2020-02-14,16.1,55,0.0,19.2
2020-02-15,15.9,46,0.0,15.1
2020-02-16,16.1,56,0.0,11.6
2020-02-17,15.9,46,0.0,15.9
2020-02-18,16.2,41,0.0,13.3
2020-02-19,16.8,57,0.4,25.3
2020-02-20,16.3,78,3.6,28.8
2020-02-21,16.1,80,0.7,18.2
2020-02-22,16.2,76,0.0,10.7
2020-02-23,18.0,66,0.0,10.8
2020-02-24,17.9,61,0.0,11.1
2020-02-25,18.6,58,0.0,12.5
2020-02-26,19.2,62,0.0,11.7
2020-02-27,19.5,75,0.0,12.3
2020-02-28,19.3,78,0.5,27.1
2020-02-29,17.2,84,21.3,22.6
2020-03-01,17.5,80,0.8,16.3
2020-03-02,18.1,72,0.0,8.6
2020-03-03,18.3,68,0.0,9.7
2020-03-04,18.1,69,0.0,13.8
2020-03-05,15.8,86,11.3,25.0
2020-03-06,14.6,91,23.2,26.9
2020-03-07,14.5,88,1.5,16.9
2020-03-08,15.7,81,0.0,13.2
2020-03-09,15.6,68,0.0,16.6
2020-03-10,16.0,70,0.0,9.7
2020-03-11,15.0,81,19.0,25.1
2020-03-12,16.8,79,20.3,30.4
2020-03-13,14.8,84,17.9,20.3
2020-03-14,14.5,88,5.3,14.5
2020-03-15,15.4,79,0.0,10.0
2020-03-16,17.0,76,0.0,9.8
2020-03-17,18.7,73,0.0,10.8
2020-03-18,19.4,75,0.8,12.8
2020-03-19,19.8,72,0.0,9.8
2020-03-20,19.8,76,1.4,11.7
2020-03-21,19.7,76,0.4,13.3
2020-03-22,20.1,64,0.0,10.6
2020-03-23,21.5,64,0.0,9.0
2020-03-24,20.7,77,2.8,15.5
2020-03-25,19.9,75,0.0,10.0
2020-03-26,20.9,68,0.0,15.2
2020-03-27,17.8,91,21.7,25.8
2020-03-28,18.5,77,0.7,15.8
2020-03-29,19.3,71,0.0,13.8
2020-03-30,20.0,65,0.0,12.0
2020-03-31,19.0,74,2.6,19.4
2020-04-01,20.3,68,0.0,18.2
2020-04-02,20.0,61,0.0,16.0
2020-04-03,20.2,60,0.0,14.3
2020-04-04,22.0,56,0.0,9.0
2020-04-05,22.3,62,0.4,17.8
2020-04-06,22.1,62,0.0,14.6
2020-04-07,21.2,64,0.2,21.8
2020-04-08,21.7,60,0.0,11.7
2020-04-09,23.8,52,0.0,9.5
2020-04-10,25.0,49,0.0,17.3
2020-04-11,25.5,51,0.0,11.6
2020-04-12,27.1,45,0.0,12.0
2020-04-13,28.2,48,0.0,15.1
2020-04-14,28.3,51,0.2,20.4
2020-04-15,29.2,40,0.1,20.3
2020-04-16,28.8,39,0.0,15.2
2020-04-17,24.3,56,7.4,19.6
2020-04-18,22.5,67,4.8,25.2
2020-04-19,23.7,59,0.0,17.8
2020-04-20,23.8,55,0.0,19.3
2020-04-21,23.7,56,0.2,15.6
2020-04-22,25.8,49,0.0,11.0
2020-04-23,27.2,45,0.0,9.8
2020-04-24,28.5,39,0.0,9.2
2020-04-25,27.4,45,0.0,13.2
2020-04-26,26.2,56,3.5,19.1
2020-04-27,25.0,64,1.4,28.7
2020-04-28,26.0,59,0.1,14.8
2020-04-29,28.8,49,0.1,8.8
2020-04-30,29.8,42,0.4,18.0
2020-05-01,31.2,35,0.0,11.2
2020-05-02,30.2,46,0.1,26.4
2020-05-03,26.3,61,3.1,31.1
2020-05-04,26.8,59,0.0,10.9
2020-05-05,27.5,48,1.1,17.6
2020-05-06,26.7,45,0.2,21.6
2020-05-07,27.7,44,0.0,13.7
2020-05-08,30.4,36,0.0,10.3
2020-05-09,31.0,37,0.0,35.5
2020-05-10,30.8,39,0.0,36.2
2020-05-11,29.7,46,0.1,21.6
2020-05-12,29.7,46,0.0,11.4
2020-05-13,29.5,48,0.2,16.6
2020-05-14,26.6,61,0.6,23.5
2020-05-15,28.3,50,0.0,17.1
2020-05-16,30.0,42,0.0,17.0
2020-05-17,30.6,31,0.0,16.7
2020-05-18,30.4,29,0.0,13.6
2020-05-19,29.1,29,0.2,22.7
2020-05-20,30.8,28,0.0,15.8
2020-05-21,33.0,24,0.0,18.2
2020-05-22,34.0,26,0.0,11.2
2020-05-23,34.7,26,0.0,21.5
2020-05-24,34.3,26,0.0,15.8
2020-05-25,35.0,25,0.0,18.0
2020-05-26,35.7,23,0.0,13.3
2020-05-27,35.5,26,0.0,21.1
2020-05-28,33.3,34,0.1,43.4
2020-05-29,30.1,52,0.3,31.2
2020-05-30,27.0,68,11.6,21.6
2020-05-31,26.4,68,1.3,17.4
2020-06-01,27.1,62,0.1,13.5
2020-06-02,28.2,58,0.0,12.7
2020-06-03,28.7,55,0.2,23.4
2020-06-04,30.0,48,0.0,15.6
2020-06-05,29.9,47,0.0,19.6
2020-06-06,27.9,60,0.6,24.0
2020-06-07,29.0,58,1.5,8.9
2020-06-08,31.6,51,0.0,12.0
2020-06-09,32.6,50,0.2,21.2
2020-06-10,32.7,52,0.0,11.9
2020-06-11,33.1,51,0.0,15.6
2020-06-12,33.5,47,0.0,17.2
2020-06-13,32.5,45,0.0,23.2
2020-06-14,33.9,40,0.0,14.0
2020-06-15,34.9,34,0.0,13.4
2020-06-16,34.6,35,0.0,13.4
2020-06-17,35.5,33,0.0,12.4
2020-06-18,36.1,35,0.0,13.4
2020-06-19,35.7,41,0.0,23.7
2020-06-20,35.0,43,0.0,19.6
2020-06-21,35.5,41,0.0,26.8
2020-06-22,34.1,52,0.0,20.9
2020-06-23,34.5,52,0.0,17.9
2020-06-24,33.1,58,0.9,17.4
2020-06-25,30.8,70,4.9,11.9
2020-06-26,31.7,63,0.8,10.0
2020-06-27,33.5,60,0.8,7.5
2020-06-28,34.2,59,0.3,20.4
2020-06-29,32.7,62,7.8,17.0
2020-06-30,32.8,63,0.0,13.5
2020-07-01,32.7,64,3.8,11.6
2020-07-02,35.0,55,0.0,12.4
2020-07-03,36.4,51,0.0,16.6
2020-07-04,33.9,60,9.8,20.3
2020-07-05,29.3,72,10.9,21.6
2020-07-06,30.6,65,0.0,8.8
2020-07-07,31.7,64,0.0,15.0
2020-07-08,29.7,70,0.4,20.6
2020-07-09,31.3,68,0.0,8.4
2020-07-10,33.5,59,0.0,17.6
2020-07-11,32.6,63,1.0,15.3
2020-07-12,30.8,69,6.3,17.2
2020-07-13,30.5,70,0.0,7.9
2020-07-14,32.4,64,0.1,10.0
2020-07-15,32.6,67,1.1,17.9
2020-07-16,31.5,69,0.7,14.8
2020-07-17,31.6,70,0.4,15.2
2020-07-18,31.8,72,2.4,12.2
2020-07-19,31.9,72,0.2,12.4
2020-07-20,30.3,75,5.8,13.3
2020-07-21,26.4,85,15.2,17.9
2020-07-22,27.7,77,0.1,9.8
2020-07-23,29.5,72,0.0,10.0
